,ISBN,Title,Author,Publishing Date,Category,Description
2161,0143038095,The Joy Luck Club,Amy Tan,2006-09-21,Fiction,"“The Joy Luck Club is one of my favorite books. From the moment I first started reading it, I knew it was going to be incredible. For me, it was one of those once-in-a-lifetime reading experiences that you cherish forever. It inspired me as a writer and still remains hugely inspirational.” —Kevin Kwan, author of Crazy Rich Asians Amy Tan’s beloved, New York Times bestselling tale of mothers and daughters, now the focus of a new documentary Amy Tan: Unintended Memoir on Netflix Four mothers, four daughters, four families whose histories shift with the four winds depending on who's ""saying"" the stories. In 1949 four Chinese women, recent immigrants to San Francisco, begin meeting to eat dim sum, play mahjong, and talk. United in shared unspeakable loss and hope, they call themselves the Joy Luck Club. Rather than sink into tragedy, they choose to gather to raise their spirits and money. ""To despair was to wish back for something already lost. Or to prolong what was already unbearable."" Forty years later the stories and history continue. With wit and sensitivity, Amy Tan examines the sometimes painful, often tender, and always deep connection between mothers and daughters. As each woman reveals her secrets, trying to unravel the truth about her life, the strings become more tangled, more entwined. Mothers boast or despair over daughters, and daughters roll their eyes even as they feel the inextricable tightening of their matriarchal ties. Tan is an astute storyteller, enticing readers to immerse themselves into these lives of complexity and mystery."
2162,0679882812,,,,,
2163,0394800915,,,,,
2164,0394800761,,,,,
2165,0394800834,,,,,
2166,0679891110,,,,,
2167,0679800034,,,,,
2168,039484484X,,,,,
2169,0007175221,Oh Say Can You Say?,Dr. Seuss,2004,Children's stories,Tie your tongue in terrible knots as you try to read aloud. Nonsense rhyming story.
2170,0679889108,,,,,
2171,0007158513,,,,,
2172,1930332351,,,,,
2173,0807218731,,,,,
2174,0679867120,,,,,
2175,1565847040,,,,,
2176,0375834966,,,,,
2177,0865164711,,,,,
2178,0007169973,,,,,
2179,0062516590,,,,,
2180,0141185260,,,,,
2181,0691089574,,,,,
2182,1883011191,,,,,
2183,0747553467,,,,,
2184,1400078431,,,,,
2185,0940322781,,,,,
2186,0679745394,,,,,
2187,8520918867,,,,,
2188,0740720120,,,,,
2189,0740721941,,,,,
2190,0140620621,,,,,
2191,0142000086,,,,,
2192,067978327X,,,,,
2193,0810119110,,,,,
2194,0385492162,,,,,
2195,1844670228,,,,,
2196,1859843824,,,,,
2197,1931859353,,,,,
2198,0743265696,,,,,
2199,0752864327,,,,,
2200,0140307370,,,,,
2201,0064405443,,,,,
2202,0064405451,,,,,
2203,0064400999,,,,,
2204,0971316821,,,,,
2205,0873512693,,,,,
2206,006440546X,,,,,
2207,0064405478,,,,,
2208,0690134495,,,,,
2209,0064408582,,,,,
2210,0064400964,,,,,
2211,1416916172,,,,,
2212,044040035X,,,,,
2213,0929093097,,,,,
2214,0385732953,,,,,
2215,0020419708,,,,,
2216,0688320147,,,,,
2217,0765316110,,,,,
2218,0765309041,,,,,
2219,0765347989,,,,,
2220,0765341174,,,,,
2221,0765341298,,,,,
2222,0898794161,,,,,
2223,0312876068,,,,,
2224,0061093998,,,,,
2225,076534128X,,,,,
2226,0812550757,,,,,
2227,0812524268,,,,,
2228,0812532619,,,,,
2229,1593974809,,,,,
2230,0345482409,,,,,
2231,0399245499,,,,,
2232,0399242082,,,,,
2233,0142501522,,,,,
2234,0142501093,,,,,
2235,1862301387,,,,,
2236,0142501182,,,,,
2237,0142401420,,,,,
2238,0142402486,,,,,
2239,0142401986,,,,,
2240,084317420X,,,,,
2241,0843121106,,,,,
2242,0843178388,,,,,
2243,0843121319,,,,,
2244,0843175044,,,,,
2245,1405211997,,,,,
2246,084312492X,,,,,
2247,0679801243,,,,,
2248,0679801154,,,,,
2249,0679801251,,,,,
2250,067980126X,Charlie Oink,Roger Hargreaves,1989-10-01,Humorous stories.,"Arthur Acre, a farmer, is tired of Charlie Oink eating all of his apples, so he devises a plan to scare Charlie away from the orchard."
2251,2010189140,,,,,
2252,0385074573,,,,,
2253,0689707495,,,,,
2254,0689305648,,,,,
2255,1595191356,,,,,
2256,0060753102,,,,,
2257,0142302333,,,,,
2258,0441012396,,,,,
2259,0515138819,,,,,
2260,0441005837,,,,,
2261,0698119606,,,,,
2262,0152000178,,,,,
2263,0451528824,,,,,
2264,1419326961,,,,,
2265,0553560689,,,,,
2266,0448400634,,,,,
2267,0679729976,,,,,
2268,0141185872,,,,,
2269,0156027755,,,,,
2270,1883011183,,,,,
2271,0691024715,,,,,
2272,0811216748,,,,,
2273,0679727221,,,,,
2274,031235326X,,,,,
2275,0312354606,,,,,
2276,097216748X,,,,,
2277,0743471229,,,,,
2278,0060278420,,,,,
2279,1400307848,,,,,
2280,1400307856,,,,,
2281,0060724919,,,,,
2282,0060885521,,,,,
2283,0064400816,,,,,
2284,0064461963,,,,,
2285,1400307864,,,,,
2286,140008279X,,,,,
2287,0226505367,,,,,
2288,0810117495,,,,,
2289,0064407144,,,,,
2290,0380016362,,,,,
2291,0064433730,,,,,
2292,0060565098,,,,,
2293,006440692X,,,,,
2294,0064434974,,,,,
2295,0064409902,,,,,
2296,0385325339,,,,,
2297,1558491228,,,,,
2298,006056508X,,,,,
2299,0060885386,,,,,
2300,0060885432,,,,,
2301,0064420817,,,,,
2302,0064462048,,,,,
2303,0064434877,,,,,
2304,0060885424,,,,,
2305,006443494X,,,,,
2306,0064434982,,,,,
2307,0060885459,,,,,
2308,0064460908,,,,,
2309,0060885394,,,,,
2310,0064401588,,,,,
2311,0060885378,,,,,
2312,0789422131,,,,,
2313,0756616344,,,,,
2314,0786864028,,,,,
2315,9707705736,,,,,
2316,0789458209,,,,,
2317,0783548818,,,,,
2318,0375875263,,,,,
2319,0060598972,,,,,
2320,1581345267,,,,,
2321,0922729360,,,,,
2322,0385410786,,,,,
2323,1857151372,,,,,
2324,009974421X,,,,,
2325,0807011010,,,,,
2326,0195181301,,,,,
2327,1557091846,,,,,
2328,0448431459,,,,,
2329,034542705X,,,,,
2330,0399154000,,,,,
2331,0425194981,,,,,
2332,0425201910,,,,,
2333,0425194973,,,,,
2334,0425210766,,,,,
2335,0425206955,,,,,
2336,042519938X,,,,,
2337,0425196739,,,,,
2338,0425208850,,,,,
2339,0515123463,,,,,
2340,0425199932,,,,,
2341,0425199169,,,,,
2342,042520846X,,,,,
2343,042519745X,,,,,
2344,0425199835,,,,,
2345,0425196747,,,,,
2346,042519499X,,,,,
2347,0449221393,,,,,
2348,0515125601,,,,,
2349,0425202887,,,,,
2350,0425207188,,,,,
2351,0425197050,,,,,
2352,0425198006,,,,,
2353,0718132386,,,,,
2354,0425203549,,,,,
2355,0449213307,,,,,
2356,0449220494,,,,,
2357,0399143068,,,,,
2358,0515125512,,,,,
2359,0399244913,,,,,
2360,1861979339,,,,,
2361,0778801462,,,,,
2362,0393325172,,,,,
2363,0393325539,,,,,
2364,0786177837,,,,,
2365,0060584084,,,,,
2366,0415936845,,,,,
2367,1582432902,,,,,
2368,0385337639,,,,,
2369,0312861877,,,,,
2370,0786712341,,,,,
2371,0142002720,,,,,
2372,8497643658,,,,,
2373,0553383531,,,,,
2374,0684845776,,,,,
2375,0721601944,,,,,
2376,055337933X,,,,,
2377,1842430351,,,,,
2378,0345418905,,,,,
2379,0330491237,,,,,
2380,0739332074,,,,,
2381,2290053651,,,,,
2382,0330491199,,,,,
2383,0517599244,,,,,
2384,2864603497,,,,,
2385,0385517211,,,,,
2386,1594865671,,,,,
2387,0140260897,,,,,
2388,0375708766,,,,,
2389,0375708731,,,,,
2390,0375758739,,,,,
2391,0965193772,,,,,
2392,068485256X,,,,,
2393,0373692285,,,,,
2394,0312936915,,,,,
2395,0571178561,,,,,
2396,1844080080,,,,,
2397,0688172377,,,,,
2398,1844082520,,,,,
2399,2226135510,,,,,
2400,0582435676,,,,,
2401,0091881803,,,,,
2402,0307264556,,,,,
2403,0345487427,,,,,
2404,0789488779,,,,,
2405,0060245603,,,,,
2406,0789479311,,,,,
2407,0807588970,,,,,
2408,0786818727,,,,,
2409,0061131520,,,,,
2410,0439401879,,,,,
2411,8439710097,,,,,
2412,0486428400,,,,,
2413,0486437450,,,,,
2414,0486280233,,,,,
2415,0393315088,,,,,
2416,0141182601,,,,,
2417,014027409X,,,,,
2418,345316413X,,,,,
2419,0413735907,,,,,
2420,0786706317,,,,,
2421,0393316025,,,,,
2422,0099468646,,,,,
2423,0552771236,,,,,
2424,055277183X,,,,,
2425,0805079130,,,,,
2426,2070513289,,,,,
2427,0743477103,,,,,
2428,0812035712,,,,,
2429,0446606987,,,,,
2430,0446614890,,,,,
2431,0446614726,,,,,
2432,0764586025,,,,,
2433,0446608289,,,,,
2434,0060088745,,,,,
2435,0448439042,,,,,
2436,0517209489,,,,,
2437,0060086211,,,,,
2438,1569716684,,,,,
2439,0060086203,,,,,
2440,0345251679,,,,,
2441,0345251229,,,,,
2442,184023380X,,,,,
2443,0891901639,,,,,
2444,0307346609,,,,,
2445,0375759239,,,,,
2446,0805076239,,,,,
2447,0688085873,,,,,
2448,0517052253,,,,,
2449,0486215318,,,,,
2450,0439574277,,,,,
2451,0451528018,,,,,
2452,9626343346,,,,,
2453,0763630640,,,,,
2454,1596792507,,,,,
2455,1401301959,,,,,
2456,1401301940,,,,,
2457,0316016659,,,,,
2458,0439286069,,,,,
2459,0142002267,,,,,
2460,0316905747,,,,,
2461,1577780728,,,,,
2462,0316000957,,,,,
2463,0446695602,,,,,
2464,1560258012,,,,,
2465,0226063127,,,,,
2466,1577782089,,,,,
2467,0823016625,,,,,
2468,0976249871,,,,,
2469,1588993000,,,,,
2470,1583227202,,,,,
2471,0767916034,,,,,
2472,0806527285,,,,,
2473,0316779237,,,,,
2474,1592289444,,,,,
2475,0451196716,,,,,
2476,1586216880,,,,,
2477,1879373564,,,,,
2478,0553813536,,,,,
2479,0385602731,,,,,
2480,0394705122,,,,,
2481,1886363064,,,,,
2482,0226348180,,,,,
2483,0312182627,,,,,
2484,1415929017,,,,,
2485,140004684X,,,,,
2486,0380794772,,,,,
2487,0975323113,,,,,
2488,079227363X,,,,,
2489,1584281405,,,,,
2490,0749934425,,,,,
2491,1584281340,,,,,
2492,2266082655,,,,,
2493,1842161903,,,,,
2494,0393955680,,,,,
2495,0393927547,,,,,
2496,0192807293,,,,,
2497,0231121253,,,,,
2498,0486218430,Technical Manual and Dictionary of Classical Ballet,Gail Grant,1982-01-01,Performing Arts,"Gail Grant's ""Technical Manual"" has long been one of the most popular and effective ballet reference guides. Completely revised and updated, this third edition is virtually a new work and should be owned by every student, teacher, choreographer, and ballet enthusiast - even those who purchased the second edition. Extensive revision, explansion and the inclusion of more than 300 new terms have added immeasurably the value of this concise, definitive manual."
2499,074326407X,,,,,
2500,0486296385,,,,,
2501,0688152023,,,,,
2502,0789460971,,,,,
2503,0448435365,,,,,
2504,0448437694,,,,,
2505,1841482641,,,,,
2506,0448442515,,,,,
2507,0385033982,,,,,
2508,0764525689,,,,,
2509,0803729782,,,,,
2510,0415942578,,,,,
2511,044844013X,,,,,
2512,0811856984,,,,,
2513,0500203520,,,,,
2514,081301395X,,,,,
2515,0970016409,,,,,
2516,0970016417,,,,,
2517,0590428888,,,,,
2518,0811201082,,,,,
2519,0440235162,,,,,
2520,9500717638,,,,,
2521,0060086246,,,,,
2522,0060731303,,,,,
2523,0099489988,,,,,
2524,0060090383,,,,,
2525,0060090375,,,,,
2526,0060787031,,,,,
2527,1902602323,,,,,
2528,1421504618,,,,,
2529,1421501759,,,,,
2530,0552995886,,,,,
2531,1400043182,,,,,
2532,1932206108,,,,,
2533,1932206086,,,,,
2534,0743285026,,,,,
2535,0743285018,,,,,
2536,0743211995,,,,,
2537,0895260905,,,,,
2538,0345425928,,,,,
2539,0812930347,,,,,
2540,0743270681,,,,,
2541,0345479726,,,,,
2542,0525948929,,,,,
2543,0452286360,,,,,
2544,0451171926,,,,,
2545,0394415760,,,,,
2546,1842430343,,,,,
2547,0449910288,,,,,
2548,0874776317,,,,,
2549,039332690X,,,,,
2550,0440241413,,,,,
2551,044024191X,,,,,
2552,0440241812,,,,,
2553,0440241898,Shopaholic Ties the Knot,Sophie Kinsella,2004,"Bloomwood, Becky (Fictitious character)","Becky Bloomwood is delighted when her boyfriend proposes, but her visions of a perfect wedding day dissolve as her mother plans a backyard wedding and her high-society mother-in-law-to-be insists on a lavish affair at the Plaza Hotel."
2554,0385338708,,,,,
2555,0552998877,,,,,
2556,1573223204,,,,,
2557,0252019814,,,,,
2558,0811839745,,,,,
2559,0375757996,,,,,
2560,0691019622,,,,,
2561,0486406660,,,,,
2562,067942895X,,,,,
2563,0198245971,,,,,
2564,0691120528,,,,,
2565,0253209102,,,,,
2566,0872203492,,,,,
2567,1559343567,,,,,
2568,0439474299,,,,,
2569,080755538X,,,,,
2570,0375752196,,,,,
2571,0687002826,,,,,
2572,1595542329,,,,,
2573,0451200268,,,,,
2574,0393308553,,,,,
2575,0768423481,,,,,
2576,080282966X,,,,,
2577,0671737694,,,,,
2578,0060957263,,,,,
2579,0349113009,,,,,
2580,034546401X,,,,,
2581,840806701X,,,,,
2582,0156032295,,,,,
2583,014101380X,,,,,
2584,0618134301,,,,,
2585,037571457X,,,,,
2586,0375714669,,,,,
2587,0375424156,,,,,
2588,0375714677,,,,,
2589,0753820250,,,,,
2590,078683787X,,,,,
2591,0765342405,,,,,
2592,0812565959,,,,,
2593,0345453867,,,,,
2594,0812513738,,,,,
2595,1595550445,,,,,
2596,0373802544,,,,,
2597,0062507540,,,,,
2598,0099283573,,,,,
2599,006062213X,,,,,
2600,0515135968,,,,,
2601,0099448750,,,,,
2602,0099448475,,,,,
2603,0060851899,,,,,
2604,184243022X,,,,,
2605,184243036X,,,,,
2606,0553107755,,,,,
2607,3499156717,,,,,
2608,3499154293,,,,,
2609,3499224429,,,,,
2610,0385333471,,,,,
2611,0385333811,,,,,
2612,0385334141,,,,,
2613,0385333870,,,,,
2614,0099267543,,,,,
2615,0385334230,,,,,
2616,0743410580,,,,,
2617,0385334265,,,,,
2618,0060263199,,,,,
2619,051712436X,,,,,
2620,0060544880,,,,,
2621,0061131547,,,,,
2622,0553286374,,,,,
2623,0380977265,,,,,
2624,0060859628,,,,,
2625,1877741094,,,,,
2626,0553112449,,,,,
2627,0743474767,,,,,
2628,0060545844,,,,,
2629,0060777338,,,,,
2630,0375415033,,,,,
2631,0143036351,,,,,
2632,0156421178,,,,,
2633,0141183721,,,,,
2634,0156701766,,,,,
2635,0679420258,,,,,
2636,1585425001,,,,,
2637,1585425249,,,,,
2638,1585424994,,,,,
2639,1585425494,Any Woman's Blues,Erica Jong,2006-12-28,Fiction,"Any Woman's Blues, first published in 1990, is a tale of addiction and narcissism-the twin obsessions of ourage. World-famous folk singer Leila Sand emerged from the sixties and seventies with addictions to drugs and booze. Leila's latest addiction is to a younger man who leaves her sexually ecstatic but emotionally bereft. The orgasmic frenzies trump the betrayals, so she keeps coming back for more. Eventually, Leila frees herself by learning the rules of love, the Twelve Steps, and the Key to Serenity in an odyssey that takes her from AA meetings to dens of sin, parties with ""names"" worth dropping, and erotic gondola rides."
2640,1585425540,,,,,
2641,0393324354,,,,,
2642,0440201047,,,,,
2643,1559362154,,,,,
2644,0374528667,,,,,
2645,140003468X,,,,,
2646,9500703203,,,,,
2647,0826414753,,,,,
2648,0571224385,,,,,
2649,0385468865,,,,,
2650,0765344955,,,,,
2651,0812532570,,,,,
2652,0307237699,,,,,
2653,0679746323,,,,,
2654,097607267X,,,,,
2655,0060826584,,,,,
2656,0007176155,,,,,
2657,0446608475,,,,,
2658,0486424588,,,,,
2659,0099474123,,,,,
2660,0553381415,,,,,
2661,0767902521,,,,,
2662,0307279464,,,,,
2663,0736411038,,,,,
2664,0571219357,,,,,
2665,1932806490,,,,,
2666,0330261568,,,,,
2667,0156260557,,,,,
2668,0156659751,,,,,
2669,1400042828,,,,,
2670,0771065264,,,,,
2671,037575931X,,,,,
2672,0525477624,,,,,
2673,0385333765,,,,,
2674,0060837160,,,,,
2675,0375700986,,,,,
2676,1400102952,,,,,
2677,1400044618,,,,,
2678,0316159417,,,,,
2679,0807831093,,,,,
2680,0393061221,,,,,
2681,081297235X,,,,,
2682,8426415164,,,,,
2683,0851703003,,,,,
2684,0312254997,,,,,
2685,009959241X,,,,,
2686,8497598369,,,,,
2687,0140189351,,,,,
2688,0812969995,,,,,
2689,0140274111,,,,,
2690,041377242X,,,,,
2691,0099440830,,,,,
2692,0060926961,,,,,
2693,0060976101,,,,,
2694,067978148X,,,,,
2695,0375703845,,,,,
2696,0679781498,,,,,
2697,0375837892,,,,,
2698,0375507906,,,,,
2699,1581821360,,,,,
2700,0812975936,,,,,
2701,0141185937,,,,,
2702,0679745572,,,,,
2703,0962088110,,,,,
2704,0792274571,,,,,
2705,0385280793,,,,,
2706,1594201080,,,,,
2707,0099468387,,,,,
2708,0099429799,,,,,
2709,0879074493,,,,,
2710,3518373900,,,,,
2711,0805232117,,,,,
2712,3442730503,,,,,
2713,0375726527,,,,,
2714,0375726535,,,,,
2715,0231082819,,,,,
2716,0375726543,,,,,
2717,0965913228,,,,,
2718,1582346437,,,,,
2719,0156421356,,,,,
2720,3804417833,,,,,
2721,3458340440,,,,,
2722,1400076323,,,,,
2723,0415278481,,,,,
2724,0679738959,,,,,
2725,3492207006,,,,,
2726,0385481969,,,,,
2727,0449911411,,,,,
2728,0571145450,,,,,
2729,0553384155,,,,,
2730,0440229200,,,,,
2731,1594481938,,,,,
2732,185549695X,,,,,
2733,038531129X,,,,,
2734,0712664564,,,,,
2735,0946487502,,,,,
2736,0886778441,,,,,
2737,0439194040,,,,,
2738,0886779065,,,,,
2739,1860645887,,,,,
2740,0618254110,,,,,
2741,0312352182,,,,,
2742,0345407865,,,,,
2743,0060837330,,,,,
2744,0312194390,,,,,
2745,0140714758,,,,,
2746,0330353829,,,,,
2747,0316367958,,,,,
2748,0312337078,,,,,
2749,3499222507,,,,,
2750,1593080344,,,,,
2751,1593080409,,,,,
2752,0312425945,,,,,
2753,0449908976,,,,,
2754,189491712X,,,,,
2755,1565117727,,,,,
2756,0822216310,,,,,
2757,0312306180,,,,,
2758,8644101277,,,,,
2759,0156002167,,,,,
2760,0571191630,,,,,
2761,0156011468,,,,,
2762,0691013802,,,,,
2763,0393323854,,,,,
2764,0142437204,,,,,
2765,0517333414,,,,,
2766,0312263104,,,,,
2767,0312049994,,,,,
2768,0312252811,,,,,
2769,0312263082,,,,,
2770,031215125X,,,,,
2771,0312265816,,,,,
2772,0520243269,,,,,
2773,0520229134,,,,,
2774,0812973011,,,,,
2775,1570625190,,,,,
2776,0977795306,,,,,
2777,2884490477,,,,,
2778,080283972X,,,,,
2779,0520213688,,,,,
2780,0195309685,,,,,
2781,0062508113,,,,,
2782,0800637143,,,,,
2783,140005477X,,,,,
2784,0743262727,,,,,
2785,031242602X,,,,,
2786,0713996870,,,,,
2787,1584795425,,,,,
2788,0060885734,,,,,
2789,0061131628,,,,,
2790,1846162661,,,,,
2791,0316525650,,,,,
2792,0976882302,,,,,
2793,0030547741,,,,,
2794,0440415802,,,,,
2795,0307383415,,,,,
2796,0426203658,,,,,
2797,0426203682,,,,,
2798,0426203674,,,,,
2799,141694740X,,,,,
2800,0439698391,,,,,
2801,1558322450,,,,,
2802,1575420775,,,,,
2803,1561583766,,,,,
2804,1862073295,,,,,
2805,1843534096,,,,,
2806,0300111142,,,,,
2807,0385732333,,,,,
2808,0312971397,,,,,
2809,0143037145,,,,,
2810,0449200167,,,,,
2811,0440424941,,,,,
2812,0440412242,,,,,
2813,1573225053,,,,,
2814,1556434308,,,,,
2815,0140250328,,,,,
2816,1598870548,,,,,
2817,0452280680,,,,,
2818,015173156X,,,,,
2819,8497592581,,,,,
2820,0764543407,,,,,
2821,0156030438,,,,,
2822,0847826465,,,,,
2823,0156029065,,,,,
2824,0156913216,,,,,
2825,015600125X,,,,,
2826,0253202175,,,,,
2827,0300093047,,,,,
2828,0753817985,,,,,
2829,025320318X,,,,,
2830,3829601867,,,,,
2831,1590302257,,,,,
2832,1580624596,,,,,
2833,1402561016,,,,,
2834,0552998087,,,,,
2835,0380713810,,,,,
2836,0141182806,,,,,
2837,043977439X,,,,,
2838,1854790471,,,,,
2839,1593081480,,,,,
2840,1596009705,,,,,
2841,1577658035,,,,,
2842,1853260401,,,,,
2843,0743289412,,,,,
2844,0881507199,,,,,
2845,0385732910,,,,,
2846,0553381695,,,,,
2847,0843955848,,,,,
2848,0743555619,,,,,
2849,1416524355,,,,,
2850,0671874756,,,,,
2851,1416524347,,,,,
2852,8497597729,,,,,
2853,0739317369,,,,,
2854,074352585X,,,,,
2855,0743537009,,,,,
2856,0836254279,,,,,
2857,1587671166,,,,,
2858,055347183X,,,,,
2859,0307348245,,,,,
2860,0451190750,,,,,
2861,0836269144,,,,,
2862,034547063X,,,,,
2863,1580631606,,,,,
2864,0451170113,,,,,
2865,0450417395,,,,,
2866,0452277752,,,,,
2867,074323359X,,,,,
2868,0671039725,,,,,
2869,0451185978,,,,,
2870,2253147699,,,,,
2871,0553562835,,,,,
2872,0679776311,,,,,
2873,0060005696,,,,,
2874,0393060918,,,,,
2875,0679768092,,,,,
2876,0393323528,,,,,
2877,0679751238,,,,,
2878,0851115195,,,,,
2879,0679431489,,,,,
2880,0375758259,,,,,
2881,1841155047,,,,,
2882,0553483323,,,,,
2883,0803725744,,,,,
2884,0786868996,,,,,
2885,0385602057,,,,,
2886,857302710X,,,,,
2887,1593081928,,,,,
2888,0436205491,,,,,
2889,0684841258,,,,,
2890,0684868199,,,,,
2891,0743239806,,,,,
2892,0684839741,,,,,
2893,0684841215,,,,,
2894,1879794063,,,,,
2895,0375701966,,,,,
2896,0060745908,,,,,
2897,0061351393,,,,,
2898,0465003125,,,,,
2899,0752842692,,,,,
2900,1560764988,,,,,
2901,1582346178,,,,,
2902,0684854279,,,,,
2903,0684854287,,,,,
2904,1415930686,,,,,
2905,0099460955,,,,,
2906,0684844648,,,,,
2907,0393318796,,,,,
2908,184195795X,,,,,
2909,0684839059,,,,,
2910,0393318354,,,,,
2911,0306808900,,,,,
2912,0345460804,,,,,
2913,0743564375,,,,,
2914,0684174693,,,,,
2915,0140139397,,,,,
2916,0140159940,,,,,
2917,0143039792,,,,,
2918,0140154418,,,,,
2919,0375759328,,,,,
2920,0140247963,,,,,
2921,0060757086,,,,,
2922,1892145022,,,,,
2923,0061228745,,,,,
2924,0140364498,,,,,
2925,0802135587,,,,,
2926,0618537252,,,,,
2927,1585421774,,,,,
2928,0375756604,,,,,
2929,0786888016,,,,,
2930,0786891076,,,,,
2931,0684873176,,,,,
2932,0743250443,,,,,
2933,1555916228,,,,,
2934,0345377966,,,,,
2935,0743264738,,,,,
2936,0684837714,,,,,
2937,0743286979,,,,,
2938,0385496095,,,,,
2939,0007189958,,,,,
2940,0743499263,,,,,
2941,1401301886,,,,,
2942,0821726846,,,,,
2943,0060744871,,,,,
2944,0140230270,,,,,
2945,074349671X,,,,,
2946,0743422449,,,,,
2947,0425185508,,,,,
2948,0743431014,,,,,
2949,0743418719,,,,,
2950,0061150142,,,,,
2951,0743454537,,,,,
2952,0802142842,,,,,
2953,1556591403,,,,,
2954,1401303277,,,,,
2955,0099486830,,,,,
2956,0060845988,,,,,
2957,0399512462,,,,,
2958,0060739681,,,,,
2959,0440242940,,,,,
2960,0385340397,,,,,
2961,1569715149,,,,,
2962,0440221668,,,,,
2963,0373638493,,,,,
2964,0385302312,,,,,
2965,184416411X,,,,,
2966,0373638523,,,,,
2967,0373638175,,,,,
2968,0373638167,,,,,
2969,0375504524,,,,,
2970,1931082898,,,,,
2971,0679732268,,,,,
2972,0940450852,,,,,
2973,0679424784,,,,,
2974,0394701496,,,,,
2975,0394701844,,,,,
2976,0385335997,,,,,
2977,0385335989,,,,,
2978,0385324138,,,,,
2979,0770429459,,,,,
2980,0099911701,,,,,
2981,0345419081,,,,,
2982,0440506816,,,,,
2983,0861711769,,,,,
2984,0805065377,,,,,
2985,0312985347,,,,,
2986,9684581149,,,,,
2987,0517618877,,,,,
2988,0192839993,,,,,
2989,0571217354,,,,,
2990,0141441143,,,,,
2991,0393975428,,,,,
2992,0679886184,,,,,
2993,0452287987,,,,,
2994,0140437282,,,,,
2995,8420469432,,,,,
2996,0156029588,,,,,
2997,0156029812,,,,,
2998,0156029049,,,,,
2999,0156260263,,,,,
3000,015640057X,,,,,
3001,0804001480,,,,,
3002,0156260271,,,,,
3003,0140139400,,,,,
3004,1586853333,,,,,
3005,0786715790,,,,,
3006,0750244917,,,,,
3007,2070536289,,,,,
3008,8433920863,,,,,
3009,3499158477,,,,,
3010,0767915305,,,,,
3011,0143037390,,,,,
3012,0375708219,,,,,
3013,0380818957,,,,,
3014,071267716X,,,,,
3015,0517539497,,,,,
3016,0393099415,,,,,
3017,0694524751,,,,,
3018,0060765453,,,,,
3019,0060652926,,,,,
3020,0684823780,,,,,
3021,0060652896,,,,,
3022,0800783360,,,,,
3023,0312263236,,,,,
3024,0842331913,,,,,
3025,0805210539,,,,,
3026,0674854292,,,,,
3027,0809037726,,,,,
3028,0805210199,,,,,
3029,0809023091,,,,,
3030,0805210288,,,,,
3031,0936077492,,,,,
3032,0936077093,,,,,
3033,0505522748,,,,,
3034,1578569508,,,,,
3035,0452280672,,,,,
3036,0452287073,,,,,
3037,0764586629,,,,,
3038,0451137094,,,,,
3039,0451143426,,,,,
3040,014118616X,,,,,
3041,0140264922,,,,,
3042,0141186178,,,,,
3043,014002476X,,,,,
3044,0140031766,,,,,
3045,0006496873,,,,,
3046,000649689X,,,,,
3047,0006496903,,,,,
3048,000649692X,,,,,
3049,0140020039,,,,,
3050,0517170779,,,,,
3051,0751533939,,,,,
3052,0751533114,,,,,
3053,0553563505,,,,,
3054,0312980167,,,,,
3055,0446362662,,,,,
3056,2268041042,,,,,
3057,0446359203,,,,,
3058,0553572989,,,,,
3059,0446364754,,,,,
3060,0451025016,,,,,
3061,0099455447,,,,,
3062,0375704027,,,,,
3063,037571894X,,,,,
3064,0007175191,,,,,
3065,0020421907,,,,,
3066,1416905278,,,,,
3067,0689840330,,,,,
3068,0394239105,,,,,
3069,0394757645,,,,,
3070,0811215806,,,,,
3071,0307114635,,,,,
3072,0140014454,,,,,
3073,1400078474,,,,,
3074,0307264882,,,,,
3075,140003342X,,,,,
3076,0452287065,,,,,
3077,0292760280,,,,,
3078,0679411674,,,,,
3079,1400076218,,,,,
3080,0452283868,,,,,
3081,1400033438,,,,,
3082,0452263492,,,,,
3083,0099760010,,,,,
3084,2264026219,,,,,
3085,1400033446,,,,,
3086,1566915902,,,,,
3087,0345476093,,,,,
3088,045121658X,,,,,
3089,0486431673,,,,,
3090,1593080360,,,,,
3091,0375753141,,,,,
3092,1931082081,,,,,
3093,2859405461,,,,,
3094,3442726328,,,,,
3095,0766144739,,,,,
3096,0451526910,,,,,
3097,0965020452,,,,,
3098,1418503460,,,,,
3099,0898401879,,,,,
3100,0785264698,,,,,
3101,0842387463,,,,,
3102,0842387455,,,,,
3103,1414307640,,,,,
3104,031024756X,,,,,
3105,0842382895,,,,,
3106,0446579629,,,,,
3107,0842386882,,,,,
3108,0842356223,,,,,
3109,0842387447,,,,,
3110,084386874,,,,,
3111,0679722319,,,,,
3112,0375703802,,,,,
3113,0679748644,,,,,
3114,0679723692,,,,,
3115,0679760237,,,,,
3116,0747574650,,,,,
3117,0802136680,,,,,
3118,0679745130,,,,,
3119,0312243359,,,,,
3120,0312361750,,,,,
3121,067978117X,,,,,
3122,0375704256,,,,,
3123,0394577299,,,,,
3124,0671727796,,,,,
3125,1576839508,,,,,
3126,0140189440,,,,,
3127,1400095417,,,,,
3128,0449001156,,,,,
3129,044900113X,,,,,
3130,1400031044,,,,,
3131,2207254410,,,,,
3132,2266106341,,,,,
3133,220724038X,,,,,
3134,2268043185,,,,,
3135,2226074740,,,,,
3136,3442353920,,,,,
3137,0761104844,,,,,
